Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Tyler Black,MIL,DH,24,18,49,4,10,2,0,0,2,3,0,7,17,0,0,1,.204,.316,.245,.561
Thomas Saggese,STL,2B,22,18,49,5,10,2,0,1,4,0,0,2,14,0,0,1,.204,.250,.306,.556
Billy Cook,PIT,OF,26,16,49,5,11,2,0,3,8,1,0,0,19,0,0,0,.224,.224,.449,.673
Nick Ahmed,LAD,SS,34,17,48,6,11,0,0,1,2,1,0,1,14,0,0,0,.229,.245,.292,.537
Tomas Nido,CHC,C,30,17,47,5,6,2,0,1,4,0,0,1,15,1,1,0,.128,.143,.234,.377
Davis Wendzel,TEX,3B,27,27,47,2,6,2,0,1,2,0,0,1,12,0,0,1,.128,.163,.234,.397
Rece Hinds,CIN,OF,24,24,46,9,12,4,1,5,11,2,0,4,16,0,0,1,.261,.333,.717,1.050
David Bote,CHC,2B,31,37,46,4,14,4,0,0,6,0,0,2,13,0,0,0,.304,.333,.391,.724
Luke Williams,ATL,SS,28,37,46,8,9,3,0,0,4,3,0,4,13,1,0,1,.196,.275,.261,.536
Gustavo Campero,LAA,OF,27,13,46,6,11,0,1,1,6,3,0,0,8,0,0,2,.239,.271,.348,.619
Tyler Locklear,SEA,1B,24,16,45,3,7,1,0,2,3,1,0,3,20,0,0,1,.156,.224,.311,.535
Ryan Vilade,DET,OF,26,17,45,5,8,0,0,1,5,0,0,2,12,1,1,0,.178,.208,.244,.452
Derek Hill,TEX,OF,29,16,43,5,11,0,0,3,5,2,1,2,14,0,0,0,.256,.289,.465,.754
Jahmai Jones,NYY,DH,27,33,42,8,10,1,1,1,4,1,1,2,16,1,0,2,.238,.304,.381,.685
Austin Shenton,TB,3B,27,19,42,3,9,5,0,1,3,0,0,8,14,0,0,0,.214,.340,.405,.745
Justin Foscue,TEX,DH,26,15,42,3,2,1,0,0,1,0,0,2,18,0,0,0,.048,.091,.071,.162
Rene Pinto,TB,C,28,19,42,5,9,3,0,2,6,0,0,4,18,1,1,1,.214,.292,.429,.721
Coby Mayo,BAL,3B,23,17,41,4,4,0,0,0,0,0,0,4,22,0,0,1,.098,.196,.098,.294
Shay Whitcomb,HOU,3B,26,20,41,1,9,3,0,0,5,0,0,5,8,0,0,0,.220,.304,.293,.597
Jonatan Clase,SEA,OF,22,19,41,4,8,1,0,0,3,3,0,2,14,0,0,0,.195,.233,.220,.453
Luken Baker,STL,DH,27,21,40,3,7,1,1,2,10,1,0,7,11,0,2,0,.175,.286,.400,.686
Jamie Westbrook,BOS,OF,29,21,40,4,6,2,0,2,7,0,0,4,14,0,2,1,.150,.234,.350,.584
Yoan Moncada,CWS,3B,29,12,40,4,11,3,1,0,0,1,0,5,11,0,0,0,.275,.356,.400,.756
Luisangel Acuna,NYM,SS,22,14,39,6,12,2,1,3,6,0,1,1,6,0,0,0,.308,.325,.641,.966
